,index,season,seasonNumber,series,episode,inCompetition,chef,challengeType,outcome,rating
109,109,All Stars: New York,8,US,4,1,Antonia L.,Quickfire,IN,
110,110,All Stars: New York,8,US,4,1,Carla H.,Quickfire,LOW,
111,111,All Stars: New York,8,US,4,1,Casey T.,Quickfire,IN,
112,112,All Stars: New York,8,US,4,1,Dale T.,Quickfire,IN,
113,113,All Stars: New York,8,US,4,1,Fabio V.,Quickfire,IN,
114,114,All Stars: New York,8,US,4,1,Jamie L.,Quickfire,IN,
115,115,All Stars: New York,8,US,4,1,Marcel V.,Quickfire,HIGH,
116,116,All Stars: New York,8,US,4,1,Mike I.,Quickfire,IN,
117,117,All Stars: New York,8,US,4,1,Richard B.,Quickfire,IN,
118,118,All Stars: New York,8,US,4,1,Spike M.,Quickfire,IN,
119,119,All Stars: New York,8,US,4,1,Tiffani F.,Quickfire,LOW,
120,120,All Stars: New York,8,US,4,1,Tiffany D.,Quickfire,IN,
121,121,All Stars: New York,8,US,4,1,Tre W.,Quickfire,WIN,
122,122,All Stars: New York,8,US,4,0,Dale L.,Quickfire,,
123,123,All Stars: New York,8,US,4,0,Elia A.,Quickfire,,
124,124,All Stars: New York,8,US,4,0,Jennifer C.,Quickfire,,
125,125,All Stars: New York,8,US,4,0,Stephen A.,Quickfire,,
126,126,All Stars: New York,8,US,4,1,Angelo S.,Elimination,IN,
127,127,All Stars: New York,8,US,4,1,Antonia L.,Elimination,HIGH,
128,128,All Stars: New York,8,US,4,1,Carla H.,Elimination,WIN,
129,129,All Stars: New York,8,US,4,1,Casey T.,Elimination,LOW,
130,130,All Stars: New York,8,US,4,1,Dale T.,Elimination,IN,
131,131,All Stars: New York,8,US,4,1,Fabio V.,Elimination,HIGH,
132,132,All Stars: New York,8,US,4,1,Jamie L.,Elimination,IN,
133,133,All Stars: New York,8,US,4,1,Marcel V.,Elimination,IN,
134,134,All Stars: New York,8,US,4,1,Mike I.,Elimination,IN,
135,135,All Stars: New York,8,US,4,1,Richard B.,Elimination,HIGH,
136,136,All Stars: New York,8,US,4,1,Spike M.,Elimination,OUT,
137,137,All Stars: New York,8,US,4,1,Tiffani F.,Elimination,IN,
138,138,All Stars: New York,8,US,4,1,Tiffany D.,Elimination,LOW,
139,139,All Stars: New York,8,US,4,1,Tre W.,Elimination,LOW,
140,140,All Stars: New York,8,US,4,0,Dale L.,Elimination,,
141,141,All Stars: New York,8,US,4,0,Elia A.,Elimination,,
142,142,All Stars: New York,8,US,4,0,Jennifer C.,Elimination,,
143,143,All Stars: New York,8,US,4,0,Stephen A.,Elimination,,
144,144,All Stars: New York,8,US,5,1,Angelo S.,Quickfire,LOW,
145,145,All Stars: New York,8,US,5,1,Antonia L.,Quickfire,IN,
146,146,All Stars: New York,8,US,5,1,Carla H.,Quickfire,IN,
147,147,All Stars: New York,8,US,5,1,Casey T.,Quickfire,IN,
148,148,All Stars: New York,8,US,5,1,Dale T.,Quickfire,LOW,
149,149,All Stars: New York,8,US,5,1,Fabio V.,Quickfire,IN,
150,150,All Stars: New York,8,US,5,1,Jamie L.,Quickfire,LOW,
151,151,All Stars: New York,8,US,5,1,Marcel V.,Quickfire,HIGH,
152,152,All Stars: New York,8,US,5,1,Mike I.,Quickfire,WIN,
153,153,All Stars: New York,8,US,5,1,Richard B.,Quickfire,HIGH,
154,154,All Stars: New York,8,US,5,1,Tiffani F.,Quickfire,IN,
155,155,All Stars: New York,8,US,5,1,Tiffany D.,Quickfire,IN,
156,156,All Stars: New York,8,US,5,1,Tre W.,Quickfire,IN,
157,157,All Stars: New York,8,US,5,0,Dale L.,Quickfire,,
158,158,All Stars: New York,8,US,5,0,Elia A.,Quickfire,,
159,159,All Stars: New York,8,US,5,0,Jennifer C.,Quickfire,,
160,160,All Stars: New York,8,US,5,0,Spike M.,Quickfire,,
161,161,All Stars: New York,8,US,5,0,Stephen A.,Quickfire,,
162,162,All Stars: New York,8,US,5,1,Angelo S.,Elimination,HIGH,
163,163,All Stars: New York,8,US,5,1,Antonia L.,Elimination,LOW,
164,164,All Stars: New York,8,US,5,1,Carla H.,Elimination,LOW,
165,165,All Stars: New York,8,US,5,1,Casey T.,Elimination,OUT,
166,166,All Stars: New York,8,US,5,1,Dale T.,Elimination,WIN,
167,167,All Stars: New York,8,US,5,1,Fabio V.,Elimination,HIGH,
168,168,All Stars: New York,8,US,5,1,Jamie L.,Elimination,LOW,
169,169,All Stars: New York,8,US,5,1,Marcel V.,Elimination,IN,
170,170,All Stars: New York,8,US,5,1,Mike I.,Elimination,IN,
171,171,All Stars: New York,8,US,5,1,Richard B.,Elimination,IN,
172,172,All Stars: New York,8,US,5,1,Tiffani F.,Elimination,IN,
173,173,All Stars: New York,8,US,5,1,Tiffany D.,Elimination,HIGH,
174,174,All Stars: New York,8,US,5,1,Tre W.,Elimination,LOW,
175,175,All Stars: New York,8,US,5,0,Dale L.,Elimination,,
176,176,All Stars: New York,8,US,5,0,Elia A.,Elimination,,
177,177,All Stars: New York,8,US,5,0,Jennifer C.,Elimination,,
178,178,All Stars: New York,8,US,5,0,Spike M.,Elimination,,
179,179,All Stars: New York,8,US,5,0,Stephen A.,Elimination,,
180,180,All Stars: New York,8,US,6,1,Angelo S.,Elimination,HIGH,
181,181,All Stars: New York,8,US,6,1,Antonia L.,Elimination,LOW,
182,182,All Stars: New York,8,US,6,1,Carla H.,Elimination,WIN,
183,183,All Stars: New York,8,US,6,1,Dale T.,Elimination,HIGH,
184,184,All Stars: New York,8,US,6,1,Fabio V.,Elimination,LOW,
185,185,All Stars: New York,8,US,6,1,Jamie L.,Elimination,OUT,
186,186,All Stars: New York,8,US,6,1,Marcel V.,Elimination,LOW,
187,187,All Stars: New York,8,US,6,1,Mike I.,Elimination,HIGH,
188,188,All Stars: New York,8,US,6,1,Richard B.,Elimination,LOW,
189,189,All Stars: New York,8,US,6,1,Tiffani F.,Elimination,OUT,
190,190,All Stars: New York,8,US,6,1,Tiffany D.,Elimination,HIGH,
191,191,All Stars: New York,8,US,6,1,Tre W.,Elimination,HIGH,
192,192,All Stars: New York,8,US,6,0,Casey T.,Elimination,,
193,193,All Stars: New York,8,US,6,0,Dale L.,Elimination,,
194,194,All Stars: New York,8,US,6,0,Elia A.,Elimination,,
195,195,All Stars: New York,8,US,6,0,Jennifer C.,Elimination,,
196,196,All Stars: New York,8,US,6,0,Spike M.,Elimination,,
197,197,All Stars: New York,8,US,6,0,Stephen A.,Elimination,,
198,198,All Stars: New York,8,US,7,1,Angelo S.,Quickfire,IN,
199,199,All Stars: New York,8,US,7,1,Antonia L.,Quickfire,LOW,
200,200,All Stars: New York,8,US,7,1,Carla H.,Quickfire,LOW,
201,201,All Stars: New York,8,US,7,1,Dale T.,Quickfire,WIN,
202,202,All Stars: New York,8,US,7,1,Fabio V.,Quickfire,LOW,
203,203,All Stars: New York,8,US,7,1,Marcel V.,Quickfire,HIGH,
204,204,All Stars: New York,8,US,7,1,Mike I.,Quickfire,HIGH,
205,205,All Stars: New York,8,US,7,1,Richard B.,Quickfire,HIGH,
206,206,All Stars: New York,8,US,7,1,Tiffany D.,Quickfire,LOW,
207,207,All Stars: New York,8,US,7,1,Tre W.,Quickfire,IN,
208,208,All Stars: New York,8,US,7,0,Casey T.,Quickfire,,
209,209,All Stars: New York,8,US,7,0,Dale L.,Quickfire,,
210,210,All Stars: New York,8,US,7,0,Elia A.,Quickfire,,
211,211,All Stars: New York,8,US,7,0,Jamie L.,Quickfire,,
212,212,All Stars: New York,8,US,7,0,Jennifer C.,Quickfire,,
213,213,All Stars: New York,8,US,7,0,Spike M.,Quickfire,,
214,214,All Stars: New York,8,US,7,0,Stephen A.,Quickfire,,
215,215,All Stars: New York,8,US,7,0,Tiffani F.,Quickfire,,
216,216,All Stars: New York,8,US,7,1,Angelo S.,Elimination,LOW,
217,217,All Stars: New York,8,US,7,1,Antonia L.,Elimination,LOW,
218,218,All Stars: New York,8,US,7,1,Carla H.,Elimination,HIGH,
219,219,All Stars: New York,8,US,7,1,Dale T.,Elimination,HIGH,
220,220,All Stars: New York,8,US,7,1,Fabio V.,Elimination,HIGH,
221,221,All Stars: New York,8,US,7,1,Marcel V.,Elimination,OUT,
222,222,All Stars: New York,8,US,7,1,Mike I.,Elimination,LOW,
223,223,All Stars: New York,8,US,7,1,Richard B.,Elimination,WIN,
224,224,All Stars: New York,8,US,7,1,Tiffany D.,Elimination,LOW,
225,225,All Stars: New York,8,US,7,1,Tre W.,Elimination,HIGH,
226,226,All Stars: New York,8,US,7,0,Casey T.,Elimination,,
227,227,All Stars: New York,8,US,7,0,Dale L.,Elimination,,
228,228,All Stars: New York,8,US,7,0,Elia A.,Elimination,,
229,229,All Stars: New York,8,US,7,0,Jamie L.,Elimination,,
230,230,All Stars: New York,8,US,7,0,Jennifer C.,Elimination,,
231,231,All Stars: New York,8,US,7,0,Spike M.,Elimination,,
232,232,All Stars: New York,8,US,7,0,Stephen A.,Elimination,,
233,233,All Stars: New York,8,US,7,0,Tiffani F.,Elimination,,
234,234,All Stars: New York,8,US,8,1,Angelo S.,Quickfire,LOW,
235,235,All Stars: New York,8,US,8,1,Antonia L.,Quickfire,IN,
236,236,All Stars: New York,8,US,8,1,Carla H.,Quickfire,HIGH,
237,237,All Stars: New York,8,US,8,1,Dale T.,Quickfire,LOW,
238,238,All Stars: New York,8,US,8,1,Fabio V.,Quickfire,HIGH,
239,239,All Stars: New York,8,US,8,1,Mike I.,Quickfire,IN,
240,240,All Stars: New York,8,US,8,1,Richard B.,Quickfire,WIN,
241,241,All Stars: New York,8,US,8,1,Tiffany D.,Quickfire,IN,
242,242,All Stars: New York,8,US,8,1,Tre W.,Quickfire,LOW,
243,243,All Stars: New York,8,US,8,0,Casey T.,Quickfire,,
244,244,All Stars: New York,8,US,8,0,Dale L.,Quickfire,,
245,245,All Stars: New York,8,US,8,0,Elia A.,Quickfire,,
246,246,All Stars: New York,8,US,8,0,Jamie L.,Quickfire,,
247,247,All Stars: New York,8,US,8,0,Jennifer C.,Quickfire,,
248,248,All Stars: New York,8,US,8,0,Marcel V.,Quickfire,,
249,249,All Stars: New York,8,US,8,0,Spike M.,Quickfire,,
250,250,All Stars: New York,8,US,8,0,Stephen A.,Quickfire,,
251,251,All Stars: New York,8,US,8,0,Tiffani F.,Quickfire,,
252,252,All Stars: New York,8,US,8,1,Angelo S.,Elimination,IN,
253,253,All Stars: New York,8,US,8,1,Antonia L.,Elimination,WIN,
254,254,All Stars: New York,8,US,8,1,Carla H.,Elimination,HIGH,
255,255,All Stars: New York,8,US,8,1,Dale T.,Elimination,LOW,
256,256,All Stars: New York,8,US,8,1,Fabio V.,Elimination,HIGH,
257,257,All Stars: New York,8,US,8,1,Mike I.,Elimination,LOW,
258,258,All Stars: New York,8,US,8,1,Richard B.,Elimination,IN,
259,259,All Stars: New York,8,US,8,1,Tiffany D.,Elimination,HIGH,
260,260,All Stars: New York,8,US,8,1,Tre W.,Elimination,OUT,
261,261,All Stars: New York,8,US,8,0,Casey T.,Elimination,,
262,262,All Stars: New York,8,US,8,0,Dale L.,Elimination,,
263,263,All Stars: New York,8,US,8,0,Elia A.,Elimination,,
264,264,All Stars: New York,8,US,8,0,Jamie L.,Elimination,,
265,265,All Stars: New York,8,US,8,0,Jennifer C.,Elimination,,
266,266,All Stars: New York,8,US,8,0,Marcel V.,Elimination,,
267,267,All Stars: New York,8,US,8,0,Spike M.,Elimination,,
268,268,All Stars: New York,8,US,8,0,Stephen A.,Elimination,,
269,269,All Stars: New York,8,US,8,0,Tiffani F.,Elimination,,
270,270,All Stars: New York,8,US,9,1,Angelo S.,Quickfire,HIGH,
271,271,All Stars: New York,8,US,9,1,Antonia L.,Quickfire,HIGH,
272,272,All Stars: New York,8,US,9,1,Carla H.,Quickfire,IN,
273,273,All Stars: New York,8,US,9,1,Dale T.,Quickfire,WIN,
274,274,All Stars: New York,8,US,9,1,Fabio V.,Quickfire,LOW,
275,275,All Stars: New York,8,US,9,1,Mike I.,Quickfire,LOW,
276,276,All Stars: New York,8,US,9,1,Richard B.,Quickfire,IN,
277,277,All Stars: New York,8,US,9,1,Tiffany D.,Quickfire,LOW,
278,278,All Stars: New York,8,US,9,0,Casey T.,Quickfire,,
279,279,All Stars: New York,8,US,9,0,Dale L.,Quickfire,,
280,280,All Stars: New York,8,US,9,0,Elia A.,Quickfire,,
281,281,All Stars: New York,8,US,9,0,Jamie L.,Quickfire,,
282,282,All Stars: New York,8,US,9,0,Jennifer C.,Quickfire,,
283,283,All Stars: New York,8,US,9,0,Marcel V.,Quickfire,,
284,284,All Stars: New York,8,US,9,0,Spike M.,Quickfire,,
285,285,All Stars: New York,8,US,9,0,Stephen A.,Quickfire,,
286,286,All Stars: New York,8,US,9,0,Tiffani F.,Quickfire,,
287,287,All Stars: New York,8,US,9,0,Tre W.,Quickfire,,
288,288,All Stars: New York,8,US,9,1,Angelo S.,Elimination,HIGH,
289,289,All Stars: New York,8,US,9,1,Antonia L.,Elimination,HIGH,
290,290,All Stars: New York,8,US,9,1,Carla H.,Elimination,WIN,
291,291,All Stars: New York,8,US,9,1,Dale T.,Elimination,LOW,
292,292,All Stars: New York,8,US,9,1,Fabio V.,Elimination,OUT,
293,293,All Stars: New York,8,US,9,1,Mike I.,Elimination,IN,
294,294,All Stars: New York,8,US,9,1,Richard B.,Elimination,IN,
295,295,All Stars: New York,8,US,9,1,Tiffany D.,Elimination,LOW,
296,296,All Stars: New York,8,US,9,0,Casey T.,Elimination,,
297,297,All Stars: New York,8,US,9,0,Dale L.,Elimination,,
298,298,All Stars: New York,8,US,9,0,Elia A.,Elimination,,
299,299,All Stars: New York,8,US,9,0,Jamie L.,Elimination,,
300,300,All Stars: New York,8,US,9,0,Jennifer C.,Elimination,,
301,301,All Stars: New York,8,US,9,0,Marcel V.,Elimination,,
302,302,All Stars: New York,8,US,9,0,Spike M.,Elimination,,
303,303,All Stars: New York,8,US,9,0,Stephen A.,Elimination,,
304,304,All Stars: New York,8,US,9,0,Tiffani F.,Elimination,,
305,305,All Stars: New York,8,US,9,0,Tre W.,Elimination,,
306,306,All Stars: New York,8,US,10,1,Angelo S.,Quickfire,LOW,
307,307,All Stars: New York,8,US,10,1,Antonia L.,Quickfire,HIGH,
308,308,All Stars: New York,8,US,10,1,Carla H.,Quickfire,IN,
309,309,All Stars: New York,8,US,10,1,Dale T.,Quickfire,WIN,
310,310,All Stars: New York,8,US,10,1,Mike I.,Quickfire,IN,
311,311,All Stars: New York,8,US,10,1,Richard B.,Quickfire,LOW,
312,312,All Stars: New York,8,US,10,1,Tiffany D.,Quickfire,IN,
313,313,All Stars: New York,8,US,10,0,Casey T.,Quickfire,,
314,314,All Stars: New York,8,US,10,0,Dale L.,Quickfire,,
315,315,All Stars: New York,8,US,10,0,Elia A.,Quickfire,,
316,316,All Stars: New York,8,US,10,0,Fabio V.,Quickfire,,
317,317,All Stars: New York,8,US,10,0,Jamie L.,Quickfire,,
318,318,All Stars: New York,8,US,10,0,Jennifer C.,Quickfire,,
319,319,All Stars: New York,8,US,10,0,Marcel V.,Quickfire,,
320,320,All Stars: New York,8,US,10,0,Spike M.,Quickfire,,
321,321,All Stars: New York,8,US,10,0,Stephen A.,Quickfire,,
322,322,All Stars: New York,8,US,10,0,Tiffani F.,Quickfire,,
323,323,All Stars: New York,8,US,10,0,Tre W.,Quickfire,,
324,324,All Stars: New York,8,US,10,1,Angelo S.,Elimination,OUT,
325,325,All Stars: New York,8,US,10,1,Antonia L.,Elimination,HIGH,
326,326,All Stars: New York,8,US,10,1,Carla H.,Elimination,LOW,
327,327,All Stars: New York,8,US,10,1,Dale T.,Elimination,WIN,
328,328,All Stars: New York,8,US,10,1,Mike I.,Elimination,IN,
329,329,All Stars: New York,8,US,10,1,Richard B.,Elimination,HIGH,
330,330,All Stars: New York,8,US,10,1,Tiffany D.,Elimination,LOW,
331,331,All Stars: New York,8,US,10,0,Casey T.,Elimination,,
332,332,All Stars: New York,8,US,10,0,Dale L.,Elimination,,
333,333,All Stars: New York,8,US,10,0,Elia A.,Elimination,,
334,334,All Stars: New York,8,US,10,0,Fabio V.,Elimination,,
335,335,All Stars: New York,8,US,10,0,Jamie L.,Elimination,,
336,336,All Stars: New York,8,US,10,0,Jennifer C.,Elimination,,
337,337,All Stars: New York,8,US,10,0,Marcel V.,Elimination,,
338,338,All Stars: New York,8,US,10,0,Spike M.,Elimination,,
339,339,All Stars: New York,8,US,10,0,Stephen A.,Elimination,,
340,340,All Stars: New York,8,US,10,0,Tiffani F.,Elimination,,
341,341,All Stars: New York,8,US,10,0,Tre W.,Elimination,,
342,342,All Stars: New York,8,US,11,1,Antonia L.,Quickfire,HIGH,
343,343,All Stars: New York,8,US,11,1,Carla H.,Quickfire,LOW,
344,344,All Stars: New York,8,US,11,1,Dale T.,Quickfire,LOW,
345,345,All Stars: New York,8,US,11,1,Mike I.,Quickfire,WIN,
346,346,All Stars: New York,8,US,11,1,Richard B.,Quickfire,HIGH,
347,347,All Stars: New York,8,US,11,1,Tiffany D.,Quickfire,IN,
348,348,All Stars: New York,8,US,11,0,Angelo S.,Quickfire,,
349,349,All Stars: New York,8,US,11,0,Casey T.,Quickfire,,
350,350,All Stars: New York,8,US,11,0,Dale L.,Quickfire,,
351,351,All Stars: New York,8,US,11,0,Elia A.,Quickfire,,
352,352,All Stars: New York,8,US,11,0,Fabio V.,Quickfire,,
353,353,All Stars: New York,8,US,11,0,Jamie L.,Quickfire,,
354,354,All Stars: New York,8,US,11,0,Jennifer C.,Quickfire,,
355,355,All Stars: New York,8,US,11,0,Marcel V.,Quickfire,,
356,356,All Stars: New York,8,US,11,0,Spike M.,Quickfire,,
357,357,All Stars: New York,8,US,11,0,Stephen A.,Quickfire,,
358,358,All Stars: New York,8,US,11,0,Tiffani F.,Quickfire,,
359,359,All Stars: New York,8,US,11,0,Tre W.,Quickfire,,
360,360,All Stars: New York,8,US,11,1,Antonia L.,Elimination,HIGH,
361,361,All Stars: New York,8,US,11,1,Carla H.,Elimination,LOW,
362,362,All Stars: New York,8,US,11,1,Dale T.,Elimination,OUT,
363,363,All Stars: New York,8,US,11,1,Mike I.,Elimination,HIGH,
364,364,All Stars: New York,8,US,11,1,Richard B.,Elimination,WIN,
365,365,All Stars: New York,8,US,11,1,Tiffany D.,Elimination,LOW,
366,366,All Stars: New York,8,US,11,0,Angelo S.,Elimination,,
367,367,All Stars: New York,8,US,11,0,Casey T.,Elimination,,
368,368,All Stars: New York,8,US,11,0,Dale L.,Elimination,,
369,369,All Stars: New York,8,US,11,0,Elia A.,Elimination,,
370,370,All Stars: New York,8,US,11,0,Fabio V.,Elimination,,
371,371,All Stars: New York,8,US,11,0,Jamie L.,Elimination,,
372,372,All Stars: New York,8,US,11,0,Jennifer C.,Elimination,,
373,373,All Stars: New York,8,US,11,0,Marcel V.,Elimination,,
374,374,All Stars: New York,8,US,11,0,Spike M.,Elimination,,
375,375,All Stars: New York,8,US,11,0,Stephen A.,Elimination,,
376,376,All Stars: New York,8,US,11,0,Tiffani F.,Elimination,,
377,377,All Stars: New York,8,US,11,0,Tre W.,Elimination,,
378,378,All Stars: New York,8,US,12,1,Antonia L.,Quickfire,HIGH,
379,379,All Stars: New York,8,US,12,1,Carla H.,Quickfire,WIN,
380,380,All Stars: New York,8,US,12,1,Mike I.,Quickfire,LOW,
381,381,All Stars: New York,8,US,12,1,Richard B.,Quickfire,HIGH,
382,382,All Stars: New York,8,US,12,1,Tiffany D.,Quickfire,LOW,
383,383,All Stars: New York,8,US,12,0,Angelo S.,Quickfire,,
384,384,All Stars: New York,8,US,12,0,Casey T.,Quickfire,,
